ID	parentID	nameID	provisional	accordingToID	accordingToDate	referenceID	extinct	temporalRangeStart	temporalRangeEnd	lifezone	link	remarks
765	7ce99f06-635dd-3d710-7864b-db47fb37d	765	0		2019	45	0			Terrestrial		
808	dde8e430-7487f-26e91-6d1eb-f1d324140	808	0		2019	13	0			Terrestrial		
80	eab97acb-3abf1-ca2c5-7439f-d3f69762f	80	0		2019	22	0			Terrestrial		
109	fa0889d7-bc581-0db76-5233e-f7d89d0a9	109	0		2019	27	0			Terrestrial		
e065a982-a38e7-db02d-ca9d6-a677fc085	e764f3aa-700f3-5d902-883eb-f09919bb2	e065a982-a38e7-db02d-ca9d6-a677fc085	false									
660	c4db8882-42273-61617-57fc9-b6d0d6a5e	660	0		2019	50	0			Terrestrial		
763	7ce99f06-635dd-3d710-7864b-db47fb37d	763	0		2019	73	0			Terrestrial		
640	6c7399d9-283f8-38c4a-93f76-6d6eb1a99	640	0		2019	100	0			Terrestrial		
1031	80eae935-1372d-ed78b-e2c34-41fa94d85	1031	0		2019	135	0			Terrestrial		
ca30a689-c8c10-832c6-154d9-dfccc60b1	b725976c-58191-2a718-89626-4ba9f0303	ca30a689-c8c10-832c6-154d9-dfccc60b1	false									
1179	65c9e117-3ff3b-5b84a-e1255-ac8ed4c8f	1179	0		2019		0			Terrestrial		
16	d5cc6683-cdf62-83703-166e9-e90e24e7b	16	0		2019	17	0			Terrestrial		
340	b4590ab6-d44a0-9c323-3286d-3f8859fc8	340	0		2019	64	0			Terrestrial		
597	77a24fb5-73808-00131-9c2e3-3987611b9	597	0		2019	12	0			Terrestrial		
1029	80eae935-1372d-ed78b-e2c34-41fa94d85	1029	0		2019	134	0			Terrestrial		
392	88	392	0		2019	92	0			Terrestrial		
424	359	424	0		2019	69	0			Terrestrial		
306	f35a7655-4306b-31394-b89cc-8feaef976	306	0		2019	6	0			Terrestrial		
627	bccd6869-ed1de-feb4a-db664-fb175e8bd	627	0		2019	10	0			Terrestrial		
783	7ce99f06-635dd-3d710-7864b-db47fb37d	783	0		2019	6	0			Terrestrial		
1006	80eae935-1372d-ed78b-e2c34-41fa94d85	1006	0		2019	120	0			Terrestrial		
1317	c3c4dd8b-da826-04c46-9f09f-1d738ea89	1317	0		2019	21	0			Terrestrial		
797	dde8e430-7487f-26e91-6d1eb-f1d324140	797	0		2019	109	0			Terrestrial		
1208	b17522ca-36e49-15879-01600-3c9a5f3e5	1208	0		2019		0			Terrestrial		
179	2504265a-9425c-1c13b-eb604-b698fdc62	179	0		2019	37	0			Terrestrial		
664	77dcb8f6-f3fdf-3e709-2ce62-a82cd8f9b	664	0		2019	6	0			Terrestrial		
1018	80eae935-1372d-ed78b-e2c34-41fa94d85	1018	0		2019	80	0			Terrestrial		
e51f3d1e-a72bb-556ac-89f57-6f0aa5325	d1734b8c-7b16d-2d726-61b0c-05822e35b	e51f3d1e-a72bb-556ac-89f57-6f0aa5325	false									
b9437d17-cab66-d23a1-3ecf6-11e47e3b0	4b066f9e-abc04-d7836-1b8d7-d5f58598f	b9437d17-cab66-d23a1-3ecf6-11e47e3b0	false									
426	361	426	0		2019	69	0			Terrestrial		
1231	b17522ca-36e49-15879-01600-3c9a5f3e5	1231	0		2019		0			Terrestrial		
433	374	433	0		2019	69	0			Terrestrial		
13	63f3fb75-7496a-d554b-31679-c98a4ffae	13	0		2019	11	0			Terrestrial		
