ID	ReferenceType	ReferenceID
824	NomRef	10
825	NomRef	10
826	NomRef	10
827	NomRef	10
828	NomRef	10
829	NomRef	10
830	NomRef	10
831	NomRef	10
832	NomRef	10
833	NomRef	10
834	NomRef	6
835	NomRef	10
836	NomRef	105
837	NomRef	10
838	NomRef	6
839	NomRef	6
840	NomRef	20
841	NomRef	31
842	NomRef	106
843	NomRef	10
844	NomRef	50
845	NomRef	10
846	NomRef	10
847	NomRef	10
848	NomRef	10
849	NomRef	10
850	NomRef	33
851	NomRef	113
852	NomRef	6
853	NomRef	10
854	NomRef	10
855	NomRef	45
856	NomRef	49
857	NomRef	10
858	NomRef	10
859	NomRef	10
860	NomRef	10
861	NomRef	20
862	NomRef	6
863	NomRef	10
864	NomRef	10
865	NomRef	6
866	NomRef	20
867	NomRef	27
868	NomRef	20
869	NomRef	10
870	NomRef	10
871	NomRef	7
872	NomRef	10
873	NomRef	33
874	NomRef	10
875	NomRef	33
876	NomRef	10
877	NomRef	10
878	NomRef	6
879	NomRef	10
880	NomRef	16
881	NomRef	9
882	NomRef	20
883	NomRef	6
884	NomRef	20
885	NomRef	10
886	NomRef	6
887	NomRef	57
888	NomRef	10
889	NomRef	6
890	NomRef	6
891	NomRef	10
892	NomRef	10
893	NomRef	20
894	NomRef	10
895	NomRef	10
896	NomRef	6
897	NomRef	10
898	NomRef	10
899	NomRef	71
900	NomRef	60
901	NomRef	17
902	NomRef	69
903	NomRef	20
904	NomRef	6
905	NomRef	10
906	NomRef	10
907	NomRef	10
908	NomRef	10
909	NomRef	10
910	NomRef	20
911	NomRef	16
912	NomRef	10
913	NomRef	49
914	NomRef	6
915	NomRef	10
916	NomRef	10
917	NomRef	10
918	NomRef	10
919	NomRef	6
920	NomRef	18
921	NomRef	10
922	NomRef	10
923	NomRef	17
924	NomRef	107
925	NomRef	17
926	NomRef	10
927	NomRef	6
928	NomRef	20
929	NomRef	20
930	NomRef	51
931	NomRef	10
932	NomRef	49
933	NomRef	10
934	NomRef	10
935	NomRef	10
936	NomRef	20
937	NomRef	78
938	NomRef	10
939	NomRef	10
940	NomRef	10
941	NomRef	73
942	NomRef	10
943	NomRef	10
944	NomRef	10
945	NomRef	108
946	NomRef	32
947	NomRef	73
948	NomRef	79
949	NomRef	10
950	NomRef	45
951	NomRef	10
952	NomRef	10
953	NomRef	6
954	NomRef	10
955	NomRef	20
956	NomRef	2
957	NomRef	10
958	NomRef	20
959	NomRef	10
960	NomRef	10
961	NomRef	10
962	NomRef	10
963	NomRef	17
964	NomRef	6
965	NomRef	10
966	NomRef	9
967	NomRef	31
968	NomRef	20
969	NomRef	6
970	NomRef	10
971	NomRef	20
972	NomRef	20
973	NomRef	20
974	NomRef	10
975	NomRef	20
976	NomRef	10
977	NomRef	50
978	NomRef	33
979	NomRef	14
980	NomRef	91
981	NomRef	110
982	NomRef	110
983	NomRef	51
984	NomRef	79
985	NomRef	9
986	NomRef	6
987	NomRef	78
988	NomRef	10
989	NomRef	6
836	TaxAccRef	19
837	TaxAccRef	19
838	TaxAccRef	19
839	TaxAccRef	19
840	TaxAccRef	19
841	TaxAccRef	32
842	TaxAccRef	19
843	TaxAccRef	19
844	TaxAccRef	19
845	TaxAccRef	19
846	TaxAccRef	19
847	TaxAccRef	19
848	TaxAccRef	19
849	TaxAccRef	19
850	TaxAccRef	19
851	TaxAccRef	10
852	TaxAccRef	19
853	TaxAccRef	19
854	TaxAccRef	19
855	TaxAccRef	19
856	TaxAccRef	19
857	TaxAccRef	19
858	TaxAccRef	19
859	TaxAccRef	19
860	TaxAccRef	19
861	TaxAccRef	19
862	TaxAccRef	19
863	TaxAccRef	19
864	TaxAccRef	19
865	TaxAccRef	19
866	TaxAccRef	19
867	TaxAccRef	19
868	TaxAccRef	19
869	TaxAccRef	19
870	TaxAccRef	19
871	TaxAccRef	19
872	TaxAccRef	19
873	TaxAccRef	19
874	TaxAccRef	19
