ReferenceID	Authors	Year	Title	Source
138	Allard E	1874	Mémoire sur les Coléoptères Ténébrionides formant les genres Sepidium, Fabr. & Vieta, Cast.	Revue et Magasin de Zoologie 3: 120–151. 
139	Escalera MM	1940	Zoologischer Atlas, enthaltend Abbildungen und Beschreibungen neuer Tierarten, während des Flottscapitains v. Kotzebue zweiter Reise um die Welt, auf der Russisch-Kaiserlichen Kriegsschlupp Predpriaetie in den Jahren 1823–1826 beobachtet. 	Drittes Heft. G. Reimer, Berlin, 18 pp.
140	Fabricius JC	1792	Entomologica systematica emendata et aucta. Secundum classes, ordines, genera, species adjectis synonimis, locis, observationibus, descriptionibus. Tom I. Pars 1.	Christ. Gottl. Proft, Hafniae, xx + 330 pp. 
141	Allard E	1870	[new species description].	Petites Nouvelles Entomologiques 13: 49–50.
142	Gahan CJ	1896	On Coleoptera from Aden and Somaliland.	Annals and Magazine of Natural History 6(18): 448–461.
143	Allard E	1882	Communications.	Bulletin de la Société Entomologique de France 6: 87.
144	Ferrer J	2004a	Tenebrionidae (Coleoptera) de Namibia, avec descriptions de 12 espèces nouvelles.	Mitteilungen aus dem Museum für Naturkunde in Berlin, Zoologische Reihe 80(2): 181–250.
145	Ancey CF	1881b	Descriptions de Coléoptères nouveaux.	Le Naturaliste 58: 461–462.
146	Ancey CF	1881a	Descriptions de Coléoptères nouveaux d’Aden.	Le Naturaliste 50: 39.
147	Kirchsberg O	1877	Vieta millingenii nov. spec. und Arthrodeis arabicus nov. spec.	Deutsche entomologische Zeitschrift 21: 203–204. 
148	Klug JCF	1835	Insekten.	_x007f_In: Nordmann A, Erman AG, Klug JFC (Eds) Verzeichniss von Thieren und Pflanzen, welche auf enier Reise um die Erde gesammelt wurden. Georg Reimer, Berlin, 27–50.
149	Kwieton E	1978	Espèces nouvelles des genres Adesmia Fisch., Pimelia Sol. et Vieta (Col. Tenebrionidae).	Bulletin de la Société Entomologique de Mulhouse 1978 8–12.
150	Mal N	1986a	Additions au genere Vietomorpha Fairmaire, 1887 (Coleoptera Tenebrionidae).	Monitore Zoologico Italiano. Supplemento, 21: 11–24
151	Español F	1944	Nuevos datos para el conocimiento de los tenebrionidos (Col.) del Sahara.	Eos, Revista Española de Entomología 20: 7–30.
152	Kulzer H	1960	Einige neue Tenebrioniden (Col.). 	Entomologische Arbeiten aus dem Museum G. Frey Tutzing bei München 11: 304–432.
153	Mal N	1984	Une espèce de Sepidium afine à S. bidentatum Solier, et description d´une espèce nouvelle de Portugal.	L´Entomologiste 40: 193–204.
154	Baudi F	1875	Catalogo dei Tenebrioniti della fauna Europea e circummediterranea appartenenti alle collezioni del Museo Civico di Genova. 	Annali del Museo Civico di Storia Naturale di Genova 7: 684–703.
155	Sahlberg F	1903	Coleoptera Numido-Punica.	Ofversigt Finska Forhandlingar XLV: 1–70.
156	Forskål P	1775	Descriptiones animalium avium, amphibiorum, piscium, insectorum, vermium quae in itinere orientali observavit. 	Mölleri, aulae Typographi, Hauniae, 232 pp.
157	Escalera MM	1925	Especies de Pachychila y otros tenebriónidos nuevos de Marruecos.	Boletínde la Real Sociedad Española de Historia Natural 25: 372–385.
158	Rotrou M	1943	Description d’une nouvelle espèce de Sepidium (Coléoptère) d’Algérie.	Entomologiste 40: 193–204. 
159	Guérin-Méneville FE	1831	Iconographie du règne animal de G. Cuvier, ou representation d’après la nature de Vune des espèces les plus remarquables et souvent non encore figurées, de chaque genre d’animaux. Avec un texte descriptif mis au couraní de la science. Ouvrage pouvant servir ďatlas à tous les traités de zoologie. II. 	Planches des animaux invertébrés. Insectes. [1829–1838].
160	Erichson WF	1844	Entomology, Coleoptera.	In: Ray Society, Reports on zoology for 1843, 1844. Instituted MDCCCXLIV, London, 313–355.
